Episode,totalReward
0,251
1,315
2,292
3,159
4,326
5,302
6,251
7,69
8,214
9,226
10,507
11,422
12,188
13,221
14,102
15,389
16,267
17,308
18,303
19,329
20,225
21,262
22,264
23,273
24,283
25,251
26,315
27,211
28,225
29,202
30,368
31,146
32,409
33,374
34,322
35,187
36,219
37,251
38,448
39,184
40,153
41,258
42,252
43,307
44,352
45,298
46,250
47,297
48,512
49,369
50,504
51,446
52,412
53,279
54,242
55,401
56,156
57,252
58,217
59,224
60,104
61,268
62,249
63,402
64,242
65,282
66,192
67,397
68,322
69,408
70,320
71,488
72,288
73,347
74,188
75,318
76,351
77,226
78,348
79,318
80,233
81,312
82,386
83,408
84,247
85,328
86,185
87,167
88,185
89,179
90,233
91,155
92,328
93,451
94,193
95,393
96,267
97,415
98,450
99,282
100,181
101,401
102,405
103,333
104,151
105,281
106,396
107,170
108,243
109,424
110,85
111,295
112,384
113,383
114,491
115,199
116,329
117,80
118,227
119,259
120,146
121,261
122,134
123,302
124,404
125,206
126,445
127,237
128,305
129,456
130,92
131,172
132,397
133,358
134,387
135,313
136,231
137,307
138,254
139,405
140,174
141,469
142,338
143,319
144,428
145,165
146,260
147,302
148,134
149,411
150,427
151,420
152,287
153,257
154,392
155,287
156,279
157,295
158,361
159,489
160,319
161,202
162,348
163,305
164,296
165,252
166,398
167,190
168,295
169,430
170,299
171,359
172,316
173,407
174,303
175,163
176,428
177,373
178,243
179,358
180,153
181,315
182,294
183,274
184,276
185,330
186,112
187,473
188,445
189,186
190,192
191,375
192,426
193,336
194,395
195,487
196,297
197,327
198,242
199,322
200,101
201,498
202,431
203,308
204,360
205,241
206,432
207,201
208,453
209,219
210,409
211,385
212,304
213,208
214,153
215,347
216,399
217,384
218,519
219,404
220,258
221,202
222,130
223,295
224,203
225,260
226,203
227,270
228,302
229,144
230,132
231,215
232,302
233,278
234,423
235,346
236,526
237,354
238,198
239,240
240,455
241,172
242,245
243,454
244,139
245,407
246,310
247,188
248,333
249,159
250,233
251,121
252,272
253,269
254,249
255,299
256,216
257,363
258,125
259,302
260,394
261,309
262,153
263,331
264,364
265,292
266,369
267,144
268,257
269,350
270,212
271,357
272,284
273,374
274,432
275,184
276,326
277,346
278,397
279,349
280,383
281,278
282,364
283,293
284,405
285,334
286,443
287,207
288,79
289,443
290,198
291,391
292,170
293,466
294,243
295,209
296,259
297,189
298,363
299,402
300,284
301,442
302,234
303,452
304,277
305,357
306,257
307,228
308,324
309,327
310,220
311,409
312,355
313,249
314,175
315,475
316,346
317,388
318,215
319,296
320,373
321,287
322,116
323,212
324,189
325,200
326,392
327,225
328,394
329,417
330,282
331,244
332,238
333,501
334,197
335,542
336,274
337,446
338,309
339,294
340,425
341,227
342,99
343,220
344,266
345,376
346,283
347,173
348,267
349,246
350,508
351,245
352,128
353,203
354,383
355,121
356,374
357,247
358,401
359,434
360,293
361,206
362,399
363,455
364,186
365,328
366,268
367,217
368,272
369,276
370,444
371,107
372,406
373,472
374,403
375,199
376,377
377,165
378,339
379,247
380,307
381,194
