Episode,totalReward
0,119
1,17
2,52
3,40
4,33
5,24
6,82
7,-43
8,24
9,85
10,100
11,104
12,25
13,126
14,-2
15,54
16,72
17,-5
18,82
19,23
20,83
21,9
22,78
23,105
24,139
25,-35
26,67
27,83
28,33
29,73
30,154
31,90
32,-20
33,42
34,107
35,84
36,87
37,10
38,87
39,122
40,19
41,42
42,110
43,100
44,88
45,40
46,103
47,159
48,100
49,-23
50,103
51,32
52,113
53,55
54,89
55,93
56,63
57,24
58,70
59,95
60,107
61,29
62,47
63,103
64,57
65,49
66,142
67,169
68,110
69,94
70,35
71,67
72,79
73,11
74,85
75,110
76,-13
77,48
78,55
79,136
80,-22
81,95
82,90
83,65
84,9
85,58
86,48
87,62
88,115
89,44
90,130
91,17
92,8
93,120
94,62
95,85
96,57
97,6
98,17
99,69
100,22
101,94
102,143
103,76
104,-5
105,14
106,119
107,-19
108,32
109,22
110,26
111,98
112,89
113,30
114,1
115,-4
116,36
117,130
118,-45
119,116
120,26
121,71
122,67
123,16
124,102
125,99
126,-8
127,179
128,90
129,104
130,124
131,87
132,46
133,53
134,75
135,-37
136,44
137,-1
138,84
139,52
140,109
141,41
142,132
143,97
144,11
145,35
146,92
147,71
148,46
149,46
150,48
151,18
152,54
153,73
154,-2
155,43
156,97
157,12
158,141
159,52
160,9
161,61
162,90
163,107
164,120
165,88
166,89
167,50
168,28
169,100
170,-2
171,69
172,-54
173,106
174,69
175,78
176,15
177,50
178,30
179,117
180,120
181,82
182,110
183,70
184,37
185,66
186,127
187,11
188,14
189,60
190,44
191,40
192,85
193,18
194,167
195,-35
196,61
197,72
198,67
199,21
200,79
201,74
202,-24
203,-8
204,52
205,-34
206,58
207,28
208,0
209,111
210,23
211,101
212,74
213,13
214,86
215,-25
216,-49
217,36
218,4
219,-5
220,29
221,53
222,-8
223,-40
224,52
225,2
226,117
227,61
228,150
229,56
230,134
231,48
232,-20
233,54
234,0
235,188
236,45
237,27
238,60
239,-1
240,-28
241,2
242,82
243,60
244,2
245,13
246,63
247,94
248,137
249,178
250,68
251,26
252,63
253,2
254,102
255,17
256,69
257,31
258,86
259,48
260,26
261,113
262,137
263,60
264,120
265,97
266,156
267,-12
268,90
269,40
270,145
271,53
272,149
273,86
274,55
275,119
276,101
277,-83
278,34
279,131
280,79
281,124
282,25
283,130
284,36
285,-13
286,116
287,35
288,31
289,40
290,59
291,-31
292,95
293,-73
294,52
295,178
296,159
297,56
298,-16
299,93
300,37
301,-9
302,-60
303,159
304,58
305,-27
306,26
307,105
308,110
309,58
310,67
311,54
312,101
313,32
314,19
315,10
316,137
317,35
318,6
319,109
320,5
321,-23
322,70
323,-9
324,98
325,3
326,67
327,63
328,35
329,79
330,84
331,16
332,72
333,-14
334,32
335,29
336,16
337,8
338,90
339,-36
340,66
341,54
342,126
343,76
344,33
345,123
346,25
347,109
348,142
349,108
350,54
351,106
352,-4
353,91
354,32
355,31
356,-76
357,117
358,54
359,73
360,56
361,97
362,39
363,90
364,100
365,36
366,56
367,63
368,-34
369,-7
370,54
371,25
372,43
373,67
374,77
375,110
376,39
377,96
378,100
379,54
380,120
381,70
382,44
383,35
384,51
385,31
386,22
387,111
388,31
389,162
390,87
391,-35
392,108
393,84
394,134
395,22
396,123
397,-8
398,142
399,21
400,91
401,-11
402,61
403,36
404,56
405,67
406,114
407,140
408,-43
409,101
410,18
411,78
412,138
413,77
414,43
415,19
416,-4
417,131
418,151
419,57
420,52
421,128
422,-67
423,7
424,93
425,93
426,92
427,-14
428,36
429,-7
430,96
431,81
432,106
433,93
434,-19
435,24
436,116
437,35
438,44
439,19
440,45
441,105
442,-84
443,21
444,88
445,128
446,11
447,48
448,-21
449,-59
450,62
451,92
452,56
453,92
454,23
455,16
456,32
457,32
458,78
459,16
460,72
461,153
462,114
463,-5
464,57
465,37
466,46
467,12
468,47
469,114
470,63
471,21
472,156
473,15
474,79
475,-7
476,75
477,2
478,82
479,36
480,27
481,89
482,-28
483,77
484,36
485,27
486,41
487,67
488,57
489,107
490,57
491,166
492,7
493,34
494,-6
495,96
496,29
497,-87
498,33
499,78
500,-31
501,41
502,-56
503,43
504,45
505,2
506,116
507,-11
508,100
509,125
510,70
511,-61
512,-48
513,71
514,-10
515,7
516,133
517,-30
518,123
519,-3
520,-6
521,51
522,107
523,33
524,73
525,9
526,47
527,61
528,53
529,87
530,81
531,94
532,76
533,117
534,103
535,18
536,47
537,-21
538,-47
539,100
540,165
541,59
542,88
543,44
544,119
545,110
546,148
547,28
548,37
549,134
550,103
551,-27
552,70
553,155
554,106
555,28
556,36
557,57
558,55
559,111
560,125
561,96
562,20
563,29
564,83
565,55
566,98
567,39
568,117
569,6
570,87
571,77
572,-34
573,43
574,79
575,-111
576,74
577,103
578,74
579,127
580,147
581,27
582,116
583,-40
584,43
585,132
586,129
587,78
588,14
589,91
590,77
591,-44
592,99
593,82
594,58
595,33
596,124
597,-3
598,86
599,31
600,58
601,47
602,73
603,25
604,127
605,79
606,88
607,1
608,29
609,27
610,-10
611,41
612,75
613,10
614,85
615,107
616,99
617,13
618,8
619,109
620,34
621,74
622,133
623,70
624,-68
625,99
626,148
627,3
628,54
629,81
630,70
631,183
632,3
633,64
634,-26
635,18
636,88
637,131
638,56
639,43
640,63
641,9
642,74
643,93
644,-15
645,99
646,12
647,59
648,38
649,133
650,152
651,32
652,43
653,21
654,91
655,32
656,-39
657,37
658,-49
659,96
660,92
661,8
662,64
663,117
664,77
665,-2
666,17
667,38
668,46
669,64
670,77
671,7
672,25
673,153
674,75
675,63
676,21
677,19
678,7
679,91
680,76
681,-37
682,88
683,1
684,142
685,112
686,21
687,166
688,60
689,121
690,50
691,57
692,31
693,72
694,101
695,8
696,112
697,93
698,28
699,95
700,79
701,80
702,55
703,49
704,96
705,49
706,-58
707,79
708,35
709,39
710,50
711,80
712,63
713,47
714,77
715,16
716,44
717,87
718,68
719,57
720,97
721,99
722,84
723,90
724,45
725,-12
726,83
727,43
728,85
729,36
730,-53
731,84
732,83
733,82
734,158
735,59
736,-22
737,57
738,82
739,-51
740,100
741,77
742,14
743,84
744,83
745,139
746,94
747,30
748,-9
749,84
750,25
751,91
752,62
753,4
754,93
755,93
756,45
757,72
758,102
759,126
760,125
761,128
762,13
763,81
764,-25
765,29
766,40
767,-11
768,28
769,-4
770,114
771,0
772,7
773,78
774,55
775,6
776,6
777,73
778,68
779,60
780,70
781,67
782,11
783,57
784,-35
785,-8
786,95
787,59
788,48
789,79
790,32
791,69
792,77
793,45
794,15
795,78
796,59
797,108
798,63
799,123
800,19
801,44
802,79
803,6
804,67
805,68
806,111
807,100
808,93
809,-35
810,72
811,41
812,7
813,107
814,-20
815,67
816,85
817,19
818,25
819,111
820,46
821,15
822,62
823,42
824,40
825,39
826,19
827,81
828,111
829,61
830,91
831,60
832,39
833,110
834,137
835,124
836,125
837,-23
838,55
839,37
840,-10
841,17
842,113
843,30
844,88
845,154
846,90
847,-4
848,58
849,96
850,38
851,32
852,134
853,42
854,19
855,57
856,69
857,60
858,104
859,139
860,25
861,95
862,68
863,70
864,107
865,63
866,124
867,38
868,39
869,-18
870,11
871,40
872,17
873,1
874,42
875,27
876,1
877,-11
878,8
879,37
880,14
881,61
882,-65
883,-15
884,110
885,96
886,31
887,33
888,53
889,-155
890,-78
891,62
892,46
893,84
894,127
895,142
896,82
897,40
898,76
899,-11
900,27
901,54
902,68
903,42
904,65
905,74
906,15
907,104
908,82
909,-40
910,125
911,18
912,86
913,125
914,35
915,-8
916,6
917,80
918,138
919,54
920,12
921,152
922,41
923,91
924,5
925,33
926,-34
927,110
928,74
929,115
930,98
931,30
932,-37
933,36
934,137
935,83
936,5
937,-27
938,29
939,35
940,29
941,7
942,21
943,135
944,116
945,148
946,114
947,121
948,-4
949,150
950,102
951,27
952,58
953,60
954,-5
955,-43
956,100
957,67
958,-41
959,150
960,-1
961,130
962,47
963,3
964,-127
965,75
966,53
967,5
968,61
969,46
970,113
971,58
972,93
973,53
974,141
975,16
976,6
977,59
978,92
979,93
980,18
981,46
982,32
983,-43
984,46
985,7
986,81
987,75
988,14
989,40
990,50
991,43
992,26
993,35
994,23
995,68
996,27
997,85
998,73
999,56
1000,-1
1001,112
1002,-63
1003,2
1004,25
1005,110
1006,24
1007,156
1008,142
1009,-64
1010,-27
1011,80
1012,55
1013,98
1014,41
1015,-7
1016,63
1017,-28
1018,-5
1019,44
1020,63
1021,-41
1022,127
1023,3
1024,112
1025,23
1026,67
1027,67
1028,88
1029,80
1030,97
1031,-57
1032,87
1033,49
1034,49
1035,-3
1036,-4
1037,119
1038,104
1039,135
1040,28
1041,-96
1042,-1
1043,100
1044,-58
1045,14
1046,66
1047,76
1048,60
1049,72
1050,86
1051,-43
1052,29
1053,-19
1054,148
1055,48
1056,101
1057,2
1058,65
1059,21
1060,50
1061,61
1062,10
1063,51
1064,-3
1065,78
1066,21
1067,107
1068,2
1069,58
1070,17
1071,83
1072,69
1073,72
1074,-44
1075,114
1076,37
